COUNTYNS,GEOID,ALAND,AWATER,NAME,State,UniqueID,TREND_Z,TREND_P,TREND_BIN,CATEGORY,PATTERN,PERC_HOT,PERC_COLD,SUM_VALUE,MIN_VALUE,MAX_VALUE,MEAN_VALUE,STD_VALUE,MED_VALUE,population,populati_1,populati_2,raceandhis,wealth_pci,ownerrente,ownerren_1,ownerren_2,ownerren_3,households,househol_1,househol_2,househol_3,populati_3,populati_4,historical,housingcos,housingc_1,housingc_2,housingc_3,homevalue_,Point_Coun,END_DATE1_,END_DATE11,END_DATE_1,END_DATE_2,END_DATE_3,END_DATE_4,END_DATE_5,END_DATE_6,END_DATE_7,END_DATE_8,END_DATE_9,END_DAT_10,END_DAT_11,END_DAT_12,END_DAT_13,END_DAT_14,END_DAT_15,END_DAT_16,END_DAT_17,Shape__Are,Shape__Len,GlobalID,PM25Weight
424202,17001,2214804824,41767689,Adams County,Illinois,596,-4.128297428,3.65459E-05,-3,6,Sporadic Hot Spot,73.68421053,0,208.7683656,7.248272966,15.66668071,10.98780872,2.419987994,10.45909858,-0.17,-0.05,-0.22,5853,30652,6226,22.74,21157,77.26,3259,11.94,24041,88.06,66822,66101,67119,0,525,0,27300,169294,46,15.66668071,12.23816344,15.17813816,14.57030328,13.452738,13.22283066,10.39309183,11.86364785,10.51310026,9.940101105,9.492796946,8.80252739,10.45909858,8.964237548,7.248272966,9.39802021,8.697177761,10.96032013,7.707118813,3848610121,251711.4558,{16DEF4E4-49EB-4EEB-9C5D-3ED75327A15D},11.10224886
424203,17003,609996948,44237171,Alexander County,Illinois,597,-3.988355143,6.6533E-05,-3,4,Persistent Hot Spot,100,0,233.783714,8.564079159,19.5375951,12.304406,3.003481957,11.53318113,-1.51,-2.04,-1.62,2964,19187,936,32.08,1982,67.92,545,23.46,1778,76.54,6806,6273,8232,0,258,90365,2323,115313,15,19.5375951,14.40304413,17.28158297,14.09908674,15.15768646,14.89786911,12.93257232,14.33257232,11.39512939,11.53318113,9.321461185,8.853120257,10.28980214,10.90745817,8.661187258,9.939269432,9.861339422,11.81567732,8.564079159,1032819605,225065.2735,{F3A4C666-BB1E-47A8-9278-AECDE16FDBC2},12.6293142
424204,17005,985073312,6462629,Bond County,Illinois,598,-4.268239714,1.97022E-05,-3,4,Persistent Hot Spot,100,0,253.3162679,9.093588529,21.05157894,13.33243515,3.317901976,12.28727271,0.08,-0.24,-0.41,2250,26110,1677,26.13,4742,73.87,902,14.51,5316,85.49,17381,17030,17754,0,429,0,6218,177821,19,21.05157894,16.09052633,17.82114829,17.42851674,16.35196172,15.87760766,13.26306221,16.05607659,13.15425837,11.6063158,10.44717702,10.035311,11.39799044,10.86411483,9.093588529,10.34028708,10.68459331,12.28727271,9.464880389,1638856499,168356.3018,{1821FB78-2976-453B-8C92-DF5CD9C80405},13.4657123
424205,17007,727171389,3361806,Boone County,Illinois,599,-4.058326286,4.94257E-05,-3,3,Intensifying Hot Spot,100,0,227.3268543,9.365856791,15.90613811,11.96457128,1.82142658,12.01867007,2.63,0.05,-0.38,15369,29516,4378,23.48,14267,76.52,1915,10.22,16816,89.78,54441,53411,54230,0,673,0,18731,225736,13,15.90613811,13.28721227,14.0668798,13.55767265,13.67979542,13.87864449,12.13887467,13.1584399,13.15255755,11.28107418,11.11317137,10.75166241,9.365856791,10.25869563,9.4569054,10.11125319,10.29514066,12.01867007,9.848209763,1337234972,154961.8091,{66488916-AA08-4417-95F2-1AE92C9A1F43},12.36784872
424206,17009,791704469,4139310,Brown County,Illinois,600,-4.338210857,1.43647E-05,-3,4,Persistent Hot Spot,94.73684211,0,217.3398081,7.623741011,16.61702637,11.43893727,2.631386471,10.87853718,-0.02,-0.29,-0.38,1864,28076,366,18.19,1646,81.81,223,10.69,1864,89.31,6752,6626,6929,570,393,131011,2087,143515,16,16.61702637,12.93429256,15.86846523,15.35587527,14.12086332,13.91642687,10.87853718,12.30299759,11.22026376,10.70371702,9.747122271,8.885011987,10.62122302,9.184292565,7.623741011,9.149520375,9.065227816,11.15899283,7.986211071,1356284250,174435.1885,{0FE72364-55A3-417F-B5DE-546FCD964547},11.73395503
424207,17011,2250916543,11606402,Bureau County,Illinois,601,-4.268239714,1.97022E-05,-3,4,Persistent Hot Spot,100,0,236.8441129,9.069378581,17.13291088,12.46547963,2.371705144,12.19088307,-0.15,-0.23,-0.6,4468,30719,3136,22.34,10900,77.66,1529,11.08,12276,88.92,34236,33216,34965,0,493,135693,13805,148200,44,17.13291088,13.56573998,15.62980378,15.58753067,14.89170075,15.74844644,12.21324611,13.65183974,12.85482421,11.8292314,11.30568275,10.74771055,10.37890432,10.6190515,9.069378581,9.658626318,10.41152903,12.19088307,9.357072778,4025040746,282636.9273,{53AF8B23-4442-4483-98B1-A2521424FCD0},12.63786063
424208,17013,657402921,77058387,Calhoun County,Illinois,602,-4.128297428,3.65459E-05,-3,4,Persistent Hot Spot,94.73684211,0,219.8464935,7.676233782,16.59636363,11.57086808,2.776552104,11.38077923,0.01,-0.39,-0.64,119,27950,292,14.39,1737,85.61,242,13.41,1563,86.59,4910,4755,5088,562,354,143999,1805,173187,15,16.58129868,13.03025973,16.59636363,15.99298705,13.69415584,13.96090909,11.66012986,13.30168832,11.67389609,10.48103897,9.499610364,8.644415589,10.16454544,9.426233737,7.676233782,8.957922071,9.030129854,11.38077923,8.093896139,1223626354,231481.8446,{CE278862-A4C7-4BD9-A5D2-13679080B258},11.6647754
424209,17015,1152657063,55892254,Carroll County,Illinois,603,-3.778441714,0.000157813,-3,3,Intensifying Hot Spot,94.73684211,0,224.9191833,9.187596298,15.10939908,11.83785175,1.787173608,11.86748845,-0.8,-0.39,-0.72,1141,28143,1345,21,5060,79,828,12.79,5648,87.21,14842,14315,15368,0,448,155087,6476,169615,25,15.10939908,12.35077043,13.73274268,13.84653313,14.17573189,14.73081664,12.11448384,12.61163328,11.86748845,11.14013865,11.17604006,10.65084746,9.641833574,10.16232664,9.187596298,10.08690292,9.955238823,12.44322033,9.935439153,2194626730,215282.3828,{927C23BB-2C69-475C-B2FA-EE83BC4C9106},11.96595597
424210,17017,973191108,20570537,Cass County,Illinois,604,-4.268239714,1.97022E-05,-3,4,Persistent Hot Spot,100,0,229.3770028,8.011498596,17.4204524,12.07247383,2.737331399,11.38991516,-0.04,-0.29,-0.75,3331,24961,1260,24.47,3889,75.53,623,12.4,4401,87.6,13277,12788,13638,606,423,93338,5024,106101,22,17.4204524,14.24495759,16.32045243,16.33251651,14.68435439,14.81442036,11.66540999,12.91479735,11.82761545,11.23298774,10.1785108,9.440150773,11.17530634,9.862205457,8.011498596,9.618284624,9.489255404,11.38991516,8.753911439,1694154984,233888.596,{D95177E1-EF95-4648-AB9D-5F0BAABE8539},11.93695679
424211,17019,2579909092,6099477,Champaign County,Illinois,605,-4.408182,1.04242E-05,-3,4,Persistent Hot Spot,100,0,249.0610805,9.193311287,20.41646453,13.10847792,2.956570392,12.37758178,1.13,0.78,0.76,73081,31352,40950,47.03,46113,52.97,16836,20.41,65663,79.59,216034,224368,201322,0,723,0,82499,203449,55,20.41646453,16.30319735,16.9384785,15.66699744,15.3984932,15.21260566,13.0124219,15.03123853,13.82072767,12.30389564,10.5046674,10.18574053,11.31863286,10.82366777,9.193311287,9.965784635,11.12785742,12.37758178,9.459316418,4430075403,270356.9663,{913D93CF-FA1C-462C-AC8B-3429CBFB362E},13.24921032
424212,17021,1837575850,16221210,Christian County,Illinois,606,-4.478153143,7.52916E-06,-3,4,Persistent Hot Spot,100,0,249.7824599,8.673637773,19.96393357,13.14644526,3.08863809,12.00659057,-0.16,-0.31,-0.65,1722,28355,3349,24.28,10442,75.72,1715,12.3,12224,87.7,33820,32735,34822,0,491,117698,13939,125151,36,19.96393357,16.41852625,17.35303579,17.03461339,16.20653867,15.3496108,13.29865075,14.83871302,13.26092373,11.80814737,10.53435392,10.39097044,11.59615982,10.68178517,8.673637773,10.21333679,10.66611314,12.00659057,9.486818903,3121645009,258902.6782,{E66E5A4D-5DA4-4637-BB66-5FE37E879080},13.39045717
424213,17023,1298695036,8796711,Clark County,Illinois,607,-3.918384,8.91446E-05,-3,4,Persistent Hot Spot,100,0,255.8080351,9.764353542,18.82907233,13.46358079,2.584798934,13.22688092,-0.4,-0.29,-0.49,625,28991,1807,27.2,4837,72.8,757,11.18,6017,88.82,15907,15524,16332,0,438,0,6774,132117,25,18.82907233,15.91994158,15.95244702,16.35047479,16.22191382,15.13886051,14.20343316,16.15536888,14.3084003,12.43776479,11.16596056,10.35091306,11.80525931,11.82783054,10.08714391,10.67837839,11.38363769,13.22688092,9.764353542,2188432082,213988.7632,{5D669D54-C601-4D83-89A3-9AA3336DDF0A},13.63107097
424214,17025,1212815749,3271820,Clay County,Illinois,608,-4.268239714,1.97022E-05,-3,4,Persistent Hot Spot,100,0,257.5201749,9.511834788,20.34519461,13.55369342,3.202366222,12.01008738,-0.52,-0.3,-0.58,553,26654,1033,18.47,4561,81.53,858,15.22,4780,84.78,13437,13052,13800,0,336,209778,5638,123970,24,20.34519461,17.627641,17.50270059,16.49030978,16.04122321,16.4150119,14.34495631,16.85885627,13.74932486,11.52096901,10.70031772,10.04336778,11.54908661,11.40206513,9.604368552,10.50460682,11.29825261,12.01008738,9.511834788,2002592598,210001.6486,{4CFCD0ED-0691-4521-871B-367C4836325F},13.39369994
424215,17027,1227664369,75635324,Clinton County,Illinois,609,-4.268239714,1.97022E-05,-3,4,Persistent Hot Spot,100,0,254.874589,8.846188351,22.2083707,13.41445205,3.4995351,12.19820629,0.61,0.25,0.2,3394,30823,2814,19.67,11494,80.33,1312,9.25,12878,90.75,38654,39042,37795,0,592,0,14190,185523,27,22.2083707,16.49536624,17.87279521,17.12937221,16.27571001,15.92092675,13.53953661,16.31375188,13.13340807,11.61547084,10.48153961,9.99521676,11.34872948,10.9768311,8.846188351,10.41449924,10.93423019,12.19820629,9.174439463,2137438035,268727.5211,{4B218D28-1AB0-4BBB-B953-55B7B1A19392},13.37153182
424216,17029,1316459189,4631826,Coles County,Illinois,610,-4.198268571,2.68964E-05,-3,4,Persistent Hot Spot,100,0,250.1489885,9.275650288,19.79335259,13.16573624,2.904239308,12.30332371,0.13,-0.35,-0.41,5088,26064,8414,40.4,12415,59.6,4674,22.11,16465,77.89,52154,51092,53861,0,520,0,21139,142015,26,19.79335259,16.99277458,16.19747112,15.67854047,16.16365608,14.73063583,13.43323698,15.85693643,13.72514451,12.08200867,10.45325143,10.06206648,11.57499999,10.9150289,9.275650288,10.31083814,10.97254337,12.30332371,9.627528905,2222978573,202677.7445,{9DC88077-15D5-489C-A410-2C453F8F0CF5},12.80391308
1784766,17031,2447370818,1786313044,Cook County,Illinois,611,-4.058326286,4.94257E-05,-3,3,Intensifying Hot Spot,100,0,262.2569148,10.72645622,18.20464766,13.80299552,2.238303882,13.75772266,-0.34,0.06,-0.06,3055681,35375,887044,44.65,1099525,55.35,280841,14.33,1678619,85.67,5216817,5199885,5188513,0,952,0,1959459,342754,51,18.20464766,14.89613944,17.43853075,16.55082457,15.35847076,15.96964018,14.02586208,14.80850824,15.30644678,13.67503748,12.00439683,11.85779782,11.41367907,12.243292,10.72645622,10.85892523,11.91612175,13.75772266,11.2444153,4467928406,374397.3608,{46AF3D52-E491-4039-8797-65A90A73D1B0},14.25706474
424218,17033,1148953805,5718140,Crawford County,Illinois,612,-3.918384,8.91446E-05,-3,4,Persistent Hot Spot,100,0,258.4647205,9.735032871,19.27236843,13.60340634,2.746379329,12.64539474,-0.31,-0.33,-0.55,1824,27076,1824,24.05,5760,75.95,990,12.94,6663,87.06,19214,18691,19807,0,438,131355,7653,143963,24,19.27236843,16.31842104,16.41126644,16.67294407,15.92310858,15.71282895,14.8600329,16.8162829,13.9959704,12.09531252,11.19580591,10.24407895,12.05460527,12.16685856,10.19177632,10.57820727,11.57442436,12.64539474,9.735032871,1914694201,210962.523,{D0D75315-E087-42F9-BBBC-88A811759326},13.66305836
424219,17035,895929073,2529531,Cumberland County,Illinois,613,-4.338210857,1.43647E-05,-3,4,Persistent Hot Spot,100,0,262.0849682,9.985074627,20.34072495,13.79394569,2.934292899,13.06130064,-0.18,0.08,-0.25,354,27569,824,18.51,3628,81.49,554,12.82,3768,87.18,11125,10986,11045,0,381,117189,4322,131160,19,20.34072495,17.52750534,16.91524521,16.42942432,16.62281452,15.80149254,14.21652453,16.57142862,14.32846483,12.528145,11.45117273,10.55660982,12.05138592,11.51908313,9.985074627,10.76791044,11.34914714,13.06130064,10.06151384,1501238856,161664.7176,{C300E437-2E29-407B-B607-D0B3D761B84A},13.81900694
